voltage;INa, Ito, ICaL, IKr;IKs, IK1, INaCa, INaK;INab, ICab, IKb, IpCa;INalate,NA,NA,NA
;-87.83524322509766;-0.002617358462885022,-0.0000029753177841485012,-1.8355409281411994e-7,-0.0006291353492997587;-1.9248134197624722e-9,-0.029018720611929893,-0.025987941771745682,0.09511207789182663;-0.017268706113100052,-0.019500626251101494,-0.000001861878672571038,0.00007406925578834489;-0.00011683254706440493,0,0,0
;-87.83524322509766;-0.0026173624210059643,-0.0000029753427952528,-1.835538796512992e-7,-0.0006290694000199437;-1.9248003191307816e-9,-0.029018720611929893,-0.02598584070801735,0.09511201828718185;-0.017268706113100052,-0.019500626251101494,-0.000001861878672571038,0.00007406697113765404;-0.00011683443881338462,0,0,0
;-87.83524322509766;-0.002617365913465619,-0.0000029753682611044496,-1.8355375175360678e-7,-0.0006290035089477897;-1.924787440543696e-9,-0.029018720611929893,-0.025983737781643867,0.09511201083660126;-0.017268706113100052,-0.019500626251101494,-0.000001861878672571038,0.0000740646937629208;-0.00011683631601044908,0,0,0
;-87.83525085449219;-0.00261736661195755,-0.0000029755308332823915,-1.8355372333189734e-7,-0.0006289666052907705;-1.924775672179635e-9,-0.029020076617598534,-0.025981687009334564,0.09511195123195648;-0.0172687117010355,-0.019500629976391792,-0.0000018619648471940309,0.00007406241638818756;-0.00011683803313644603,0,0,0
;-87.83526611328125;-0.0026173589285463095,-0.0000029758314212813275,-1.8355363806676905e-7,-0.00062895892187953;-1.9247654581278084e-9,-0.029022788628935814,-0.02597956173121929,0.09511192888021469;-0.01726871356368065,-0.01950063183903694,-0.0000018621357185111265,0.0000740601317374967;-0.00011683953925967216,0,0,0
;-87.83526611328125;-0.002617362653836608,-0.000002975857341880328,-1.8355352437993133e-7,-0.0006288931472226977;-1.9247525795407228e-9,-0.029022788628935814,-0.02597750537097454,0.09511186182498932;-0.01726871356368065,-0.01950063183903694,-0.0000018621357185111265,0.00007405784708680585;-0.00011684137280099094,0,0,0
;-87.83526611328125;-0.0026173661462962627,-0.0000029758832624793286,-1.8355345332565776e-7,-0.0006288272561505437;-1.924739700953637e-9,-0.029022788628935814,-0.025975406169891357,0.09511185437440872;-0.01726871356368065,-0.01950063183903694,-0.0000018621357185111265,0.00007405556971207261;-0.00011684322817018256,0,0,0
;-87.83526611328125;-0.0026173696387559175,-0.000002975909183078329,-1.8355346753651247e-7,-0.0006287614232860506;-1.9247266003219465e-9,-0.029022788628935814,-0.025973303243517876,0.09511180967092514;-0.01726871356368065,-0.01950063183903694,-0.0000018621357185111265,0.00007405328506138176;-0.00011684508353937417,0,0,0
;-87.83526611328125;-0.0026173735968768597,-0.0000029759355584246805,-1.8355351016907662e-7,-0.0006286955904215574;-1.924713721734861e-9,-0.029022788628935814,-0.025971239432692528,0.09511177986860275;-0.01726871356368065,-0.01950063183903694,-0.0000018621357185111265,0.00007405100768664852;-0.00011684696073643863,0,0,0
;-87.83526611328125;-0.002617377322167158,-0.0000029759621611447074,-1.8355356701249548e-7,-0.0006286297575570643;-1.9247006211031703e-9,-0.029022788628935814,-0.025969145819544792,0.09511171281337738;-0.01726871356368065,-0.01950063183903694,-0.0000018621357185111265,0.00007404872303595766;-0.00011684880882967263,0,0,0
;-87.83528900146484;-0.0026173663791269064,-0.000002976400992338313,-1.8355369491018791e-7,-0.0006286508869379759;-1.924692183408183e-9,-0.029026860371232033,-0.0259670689702034,0.0951116606593132;-0.017268715426325798,-0.01950063556432724,-0.0000018623918549565133,0.00007404645293718204;-0.00011685023491736501,0,0,0
;-87.8353042602539;-0.002617359859868884,-0.0000029767020350845996,-1.8355369491018791e-7,-0.0006286430871114135;-1.9246821914009615e-9,-0.029029572382569313,-0.02596498280763626,0.09511159360408783;-0.017268719151616096,-0.019500641152262688,-0.0000018625613620315562,0.00007404419011436403;-0.00011685172648867592,0,0,0
;-87.83531951904297;-0.002617355203256011,-0.0000029770026230835356,-1.8355362385591434e-7,-0.000628635345492512;-1.92467219939374e-9,-0.029032284393906593,-0.02596287988126278,0.09511159360408783;-0.017268721014261246,-0.019500644877552986,-0.000001862732574409165,0.0000740419200155884;-0.00011685326899169013,0,0,0
;-87.83533477783203;-0.0026173489168286324,-0.000002977302983708796,-1.8355351016907662e-7,-0.0006286273128353059;-1.9246619853419134e-9,-0.029034996405243874,-0.025960789993405342,0.09511149674654007;-0.017268724739551544,-0.019500644877552986,-0.0000018629034457262605,0.00007403964264085516;-0.00011685484787449241,0,0,0
;-87.8353500366211;-0.0026173414662480354,-0.000002977603571707732,-1.835534106930936e-7,-0.0006286196294240654;-1.924651771290087e-9,-0.029037706553936005,-0.025958724319934845,0.09511145949363708;-0.017268728464841843,-0.019500650465488434,-0.0000018630746581038693,0.00007403737254207954;-0.0001168563321698457,0,0,0
;-87.83536529541016;-0.0026173379737883806,-0.000002977904159706668,-1.835532259519823e-7,-0.0006286117131821811;-1.924641779282865e-9,-0.029040418565273285,-0.025956641882658005,0.0951114073395729;-0.017268728464841843,-0.019500654190778732,-0.0000018632441651789122,0.00007403510244330391;-0.00011685787467285991,0,0,0
;-87.83538055419922;-0.0026173300575464964,-0.0000029782049750792794,-1.835530270000163e-7,-0.0006286040297709405;-1.9246315652310386e-9,-0.029043128713965416,-0.025954594835639,0.09511134028434753;-0.017268730327486992,-0.01950065791606903,-0.0000018634154912433587,0.00007403283234452829;-0.00011685935169225559,0,0,0
;-87.83540344238281;-0.002617319580167532,-0.0000029786422146571567,-1.8355281383719557e-7,-0.000628625217359513;-1.9246231275360515e-9,-0.029047202318906784,-0.025952506810426712,0.09511133283376694;-0.01726873591542244,-0.01950066350400448,-0.0000018636725371834473,0.00007403055496979505;-0.0001168607923318632,0,0,0
;-87.8354263305664;-0.0026173086371272802,-0.000002979079908982385,-1.835525580418107e-7,-0.0006286463467404246;-1.9246146898410643e-9,-0.029051274061203003,-0.025950435549020767,0.09511122852563858;-0.017268741503357887,-0.019500667229294777,-0.0000018639273093867814,0.00007402829214697704;-0.0001168621311080642,0,0,0
;-87.83544158935547;-0.002617302117869258,-0.0000029793793601129437,-1.8355220277044282e-7,-0.0006286384887062013;-1.9246044757892378e-9,-0.029053984209895134,-0.025948340073227882,0.09511120617389679;-0.017268743366003036,-0.019500670954585075,-0.0000018640982943907147,0.00007402602204820141;-0.0001168636663351208,0,0,0
;-87.83545684814453;-0.002617294667288661,-0.0000029796794933645288,-1.8355186170992965e-7,-0.0006286305142566562;-1.924594483782016e-9,-0.029056696221232414,-0.025946255773305893,0.09511113911867142;-0.017268745228648186,-0.019500674679875374,-0.0000018642691657078103,0.00007402375194942579;-0.00011686522339005023,0,0,0
;-87.8354721069336;-0.0026172904763370752,-0.0000029799789444950875,-1.8355150643856177e-7,-0.0006286225980147719;-1.9245842697301896e-9,-0.029059410095214844,-0.025944191962480545,0.09511113166809082;-0.017268747091293335,-0.019500678405165672,-0.000001864440378085419,0.00007402147457469255;-0.00011686670040944591,0,0,0
;-87.83548736572266;-0.0026172834914177656,-0.0000029802786229993217,-1.8355112274548446e-7,-0.0006286147981882095;-1.924574277722968e-9,-0.029062123969197273,-0.025942113250494003,0.09511108696460724;-0.017268750816583633,-0.01950068026781082,-0.0000018646101125341374,0.00007401921902783215;-0.00011686826474033296,0,0,0
;-87.83550262451172;-0.0026172769721597433,-0.0000029805780741298804,-1.835507816849713e-7,-0.0006286068819463253;-1.9245642857157463e-9,-0.029064832255244255,-0.025940049439668655,0.09511104226112366;-0.017268752679228783,-0.01950068399310112,-0.000001864780983851233,0.00007401695620501414;-0.00011686973448377103,0,0,0
;-87.83551788330078;-0.0026172723155468702,-0.000002980877525260439,-1.8355042641360342e-7,-0.0006285989657044411;-1.9245540716639198e-9,-0.029067544266581535,-0.025937983766198158,0.09511101990938187;-0.01726875826716423,-0.01950068771839142,-0.0000018649521962288418,0.00007401470065815374;-0.00011687126971082762,0,0,0
;-87.83553314208984;-0.0026172655634582043,-0.0000029811774311383488,-1.8355007114223554e-7,-0.0006285911076702178;-1.924544079656698e-9,-0.029070260003209114,-0.025935912504792213,0.09511096030473709;-0.01726875826716423,-0.019500691443681717,-0.0000018651230675459374,0.00007401243783533573;-0.00011687280493788421,0,0,0
;-87.8355484008789;-0.002617259044200182,-0.000002981477109642583,-1.8354973008172237e-7,-0.0006285831914283335;-1.9245343096940815e-9,-0.029072970151901245,-0.02593383565545082,0.09511089324951172;-0.01726876012980938,-0.019500695168972015,-0.0000018652928019946557,0.00007401017501251772;-0.00011687428195727989,0,0,0
;-87.83556365966797;-0.002617254853248596,-0.000002981776788146817,-1.8354936059949978e-7,-0.0006285752169787884;-1.924524095642255e-9,-0.029075685888528824,-0.025931768119335175,0.09511087834835052;-0.017268765717744827,-0.019500697031617165,-0.0000018654640143722645,0.00007400791218969971;-0.0001168758244602941,0,0,0
;-87.83558654785156;-0.002617243677377701,-0.00000298221425509837,-1.8354904796069604e-7,-0.0006285964627750218;-1.9245156579472678e-9,-0.029079753905534744,-0.025929687544703484,0.09511080384254456;-0.017268769443035126,-0.019500702619552612,-0.000001865721060312353,0.00007400565664283931;-0.00011687716323649511,0,0,0
;-87.83560943603516;-0.0026172331999987364,-0.000002982650812555221,-1.8354866426761873e-7,-0.0006286174757406116;-1.9245069982076757e-9,-0.029083825647830963,-0.025927620008587837,0.09511073678731918;-0.017268773168325424,-0.01950070820748806,-0.0000018659758325156872,0.00007400338654406369;-0.00011687855294439942,0,0,0
;-87.83560943603516;-0.0026172371581196785,-0.000002982674914164818,-1.8354822373112256e-7,-0.0006285516428761184;-1.92449411962059e-9,-0.029083825647830963,-0.025925543159246445,0.09511072933673859;-0.017268773168325424,-0.01950070820748806,-0.0000018659758325156872,0.00007400113099720329;-0.00011688036465784535,0,0,0
;-87.83560943603516;-0.0026172411162406206,-0.0000029826994705217658,-1.8354785424889997e-7,-0.0006284858100116253;-1.9244812410335044e-9,-0.029083825647830963,-0.025923466309905052,0.09511065483093262;-0.017268773168325424,-0.01950070820748806,-0.0000018659758325156872,0.0000739988754503429;-0.00011688221275107935,0,0,0
;-87.83560943603516;-0.002617244841530919,-0.0000029827240268787136,-1.835476126643698e-7,-0.0006284200353547931;-1.9244683624464187e-9,-0.029083825647830963,-0.025921424850821495,0.09511065483093262;-0.017268773168325424,-0.01950070820748806,-0.0000018659758325156872,0.00007399661262752488;-0.00011688404629239812,0,0,0
;-87.83560943603516;-0.0026172481011599302,-0.0000029827494927303633,-1.835474279232585e-7,-0.0006283542606979609;-1.924455261814728e-9,-0.029083825647830963,-0.025919338688254356,0.09511062502861023;-0.017268773168325424,-0.01950070820748806,-0.0000018659758325156872,0.00007399434980470687;-0.00011688588710967451,0,0,0
;-87.83560943603516;-0.0026172518264502287,-0.0000029827747312083375,-1.835473142364208e-7,-0.0006282884278334677;-1.9244423832276425e-9,-0.029083825647830963,-0.02591729164123535,0.09511057287454605;-0.017268773168325424,-0.01950070820748806,-0.0000018659758325156872,0.00007399210153380409;-0.0001168877279269509,0,0,0
;-87.83562469482422;-0.002617243444547057,-0.0000029830760013282998,-1.8354730002556607e-7,-0.0006282805115915835;-1.924432391220421e-9,-0.029086537659168243,-0.025915250182151794,0.09511050581932068;-0.017268773168325424,-0.01950071193277836,-0.0000018661468175196205,0.00007398984598694369;-0.00011688922677421942,0,0,0
;-87.83563232421875;-0.0026172443758696318,-0.000002983238800879917,-1.8354715791701892e-7,-0.0006282435497269034;-1.9244210669455697e-9,-0.029087893664836884,-0.025913190096616745,0.0951104611158371;-0.017268775030970573,-0.019500713795423508,-0.0000018662328784557758,0.00007398759771604091;-0.00011689090024447069,0,0,0
;-87.83563232421875;-0.0026172478683292866,-0.0000029832642667315667,-1.8354710107360006e-7,-0.0006281778332777321;-1.924407966313879e-9,-0.029087893664836884,-0.0259111151099205,0.0951104462146759;-0.017268775030970573,-0.019500713795423508,-0.0000018662328784557758,0.00007398534944513813;-0.00011689274106174707,0,0,0
;-87.83563232421875;-0.002617251593619585,-0.0000029832901873305673,-1.8354707265189063e-7,-0.0006281120586208999;-1.9243953097713984e-9,-0.029087893664836884,-0.025909055024385452,0.09511040151119232;-0.017268775030970573,-0.019500713795423508,-0.0000018662328784557758,0.00007398309389827773;-0.0001168946037068963,0,0,0
;-87.83563232421875;-0.00261725508607924,-0.000002983316107929568,-1.8354710107360006e-7,-0.0006280462839640677;-1.924382209139708e-9,-0.029087893664836884,-0.025906994938850403,0.09511035680770874;-0.017268775030970573,-0.019500713795423508,-0.0000018662328784557758,0.00007398084562737495;-0.00011689643724821508,0,0,0
;-87.83563232421875;-0.0026172588113695383,-0.0000029833420285285683,-1.8354715791701892e-7,-0.0006279805093072355;-1.9243691085080172e-9,-0.029087893664836884,-0.02590494602918625,0.09511029720306396;-0.017268775030970573,-0.019500713795423508,-0.0000018662328784557758,0.00007397859735647216;-0.00011689827078953385,0,0,0
;-87.83563232421875;-0.0026172625366598368,-0.000002983368631248595,-1.835472431821472e-7,-0.0006279148510657251;-1.9243562299209316e-9,-0.029087893664836884,-0.0259028859436512,0.09511029720306396;-0.017268775030970573,-0.019500713795423508,-0.0000018662328784557758,0.00007397634908556938;-0.00011690010433085263,0,0,0
;-87.83565521240234;-0.0026172520592808723,-0.000002983807689815876,-1.8354734265813022e-7,-0.0006279358640313148;-1.9243477922259444e-9,-0.029091961681842804,-0.025900837033987045,0.0951102077960968;-0.017268778756260872,-0.019500717520713806,-0.0000018664889012143249,0.00007397409353870898;-0.00011690150859067217,0,0,0
;-87.8356704711914;-0.0026172439102083445,-0.0000029841089599358384,-1.8354735686898493e-7,-0.0006279278313741088;-1.9243380222633277e-9,-0.029094673693180084,-0.02589876763522625,0.0951102003455162;-0.01726878248155117,-0.019500721246004105,-0.0000018666586356630432,0.0000739718452678062;-0.00011690295650623739,0,0,0
;-87.83568572998047;-0.002617238089442253,-0.0000029844097753084498,-1.835473142364208e-7,-0.0006279199733398855;-1.924328030256106e-9,-0.029097387567162514,-0.025896713137626648,0.09511013329029083;-0.017268788069486618,-0.019500724971294403,-0.0000018668295069801388,0.00007396959699690342;-0.00011690448445733637,0,0,0
;-87.83570098876953;-0.0026172331999987364,-0.0000029847103633073857,-1.8354721476043778e-7,-0.0006279118824750185;-1.9243178162042796e-9,-0.029100101441144943,-0.025894656777381897,0.09511011838912964;-0.017268788069486618,-0.0195007286965847,-0.0000018670007193577476,0.00007396734872600064;-0.00011690593237290159,0,0,0
;-87.8357162475586;-0.002617226680740714,-0.000002985011178679997,-1.835470442301812e-7,-0.0006279040244407952;-1.924307824197058e-9,-0.029102811589837074,-0.02589261531829834,0.09511004388332367;-0.017268789932131767,-0.01950073055922985,-0.000001867170453806466,0.00007396509317914024;-0.00011690746759995818,0,0,0
;-87.83573150634766;-0.002617219230160117,-0.000002985311766678933,-1.8354687369992462e-7,-0.000627896108198911;-1.9242978321898363e-9,-0.029105529189109802,-0.025890544056892395,0.09511001408100128;-0.017268793657422066,-0.01950073428452015,-0.0000018673413251235615,0.00007396285946015269;-0.00011690899555105716,0,0,0
;-87.83574676513672;-0.0026172155048698187,-0.0000029856121273041936,-1.835466747479586e-7,-0.0006278880755417049;-1.9242880622272196e-9,-0.029108239337801933,-0.025888528674840927,0.0951099544763565;-0.017268795520067215,-0.019500738009810448,-0.0000018675125375011703,0.00007396061846520752;-0.00011691045801853761,0,0,0
;-87.83576965332031;-0.002617204561829567,-0.0000029860498216294218,-1.835464757959926e-7,-0.0006279090302996337;-1.9242796245322324e-9,-0.029112307354807854,-0.025886455550789833,0.09510990232229233;-0.017268799245357513,-0.019500743597745895,-0.0000018677695834412589,0.00007395837747026235;-0.00011691183317452669,0,0,0
;-87.8357925415039;-0.0026171936187893152,-0.00000298648751595465,-1.8354616315718886e-7,-0.0006279300432652235;-1.9242709647926404e-9,-0.029116379097104073,-0.02588440291583538,0.09510982036590576;-0.017268802970647812,-0.019500747323036194,-0.000001868024355644593,0.00007395613647531718;-0.00011691315739881247,0,0,0
;-87.83580780029297;-0.0026171859353780746,-0.000002986787649206235,-1.835458220966757e-7,-0.0006279220688156784;-1.9242609727854187e-9,-0.029119089245796204,-0.025882329791784286,0.09510981291532516;-0.01726880483329296,-0.019500751048326492,-0.0000018681952269616886,0.00007395389548037201;-0.00011691466352203861,0,0,0
