voltage;ICaL,ICaNa,IpCa,ICab;ICaK,IKs,IKr,IK1;IKb,INaK,INab,INa;INaCa,Ito,INalate,NA,NA
;-87.62100982666016;-4.7043980089256365e-7,-2.604254945026696e-8,0.00007800459570717067,-0.019453493878245354;2.882250271785125e-10,-0.000003892551376338815,0.00014759313489776105,0.009240289218723774;4.67704523998691e-7,0.07434511184692383,-0.01723046787083149,-0.0027009746991097927;-0.044139035046100616,0.0000029855998491257196,-0.0001107807329390198,0.00028609007131308317
;-87.62102508544922;-4.7044053985700884e-7,-2.604258320104691e-8,0.00007800185994710773,-0.0194534994661808;2.882251659563906e-10,-0.0000038923863030504435,0.00014749832917004824,0.009235138073563576;4.6744244741603325e-7,0.07434513419866562,-0.01723046787083149,-0.002700966317206621;-0.04413503780961037,0.0000029839529815944843,-0.00011078394891228527,0.00028486637165769935
;-87.62104034423828;-4.704410514477786e-7,-2.6042616951826858e-8,0.00007799911691108719,-0.01945350132882595;2.8822544351214674e-10,-0.000003892218956025317,0.0001474310556659475,0.009231704287230968;4.6726756863790797e-7,0.07434511184692383,-0.017230473458766937,-0.0027009639889001846;-0.044131089001894,0.0000029828620426997077,-0.00011078720126533881,0.000285280984826386
;-87.62105560302734;-4.704417335688049e-7,-2.6042657808034164e-8,0.00007799638842698187,-0.01945350505411625;2.8822566555675166e-10,-0.00000389205115425284,0.00014736382581759244,0.009228270500898361;4.6709300249858643e-7,0.07434512674808502,-0.017230477184057236,-0.002700959797948599;-0.04412715882062912,0.000002981771558552282,-0.0001107905336539261,0.00028571829898282886
;-87.62107849121094;-4.704423872681218e-7,-2.6042689782457273e-8,0.00007799365266691893,-0.019453508779406548;2.8822585984578097e-10,-0.000003891883352480363,0.00014729656686540693,0.00922483578324318;4.669184647809743e-7,0.07434511929750443,-0.017230479046702385,-0.0027009558398276567;-0.04412315785884857,0.0000029806808470311807,-0.00011079380783485249,0.00028620054945349693
;-87.62109375;-4.704430978108576e-7,-2.604272886230774e-8,0.00007799093145877123,-0.019453514367341995;2.882261096459615e-10,-0.000003891719188686693,0.00014720183389727026,0.009219685569405556;4.6665675768053916e-7,0.07434508204460144,-0.017230482771992683,-0.0027009472250938416;-0.04411918297410011,0.0000029790335247525945,-0.00011079701653216034,0.00028489273972809315
;-87.62110900878906;-4.704436946667556e-7,-2.604275550766033e-8,0.0000779881956987083,-0.019453518092632294;2.8822619291268836e-10,-0.000003891551386914216,0.00014713463315274566,0.009216250851750374;4.6648185048070445e-7,0.07434509694576263,-0.017230484634637833,-0.002700945595279336;-0.04411526769399643,0.000002977943040605169,-0.00011080028343712911,0.00028530426789075136
;-87.62112426757812;-4.7044420625752537e-7,-2.604279103479712e-8,0.00007798547449056059,-0.019453519955277443;2.8822638720171767e-10,-0.000003891383585141739,0.0001470674033043906,0.009212817065417767;4.663072843413829e-7,0.07434508949518204,-0.01723049022257328,-0.00270094140432775;-0.04411127045750618,0.0000029768518743367167,-0.00011080362310167402,0.00028579338686540723
;-87.62114715576172;-4.7044485995684227e-7,-2.6042826561933907e-8,0.00007798275328241289,-0.01945352368056774;2.882266092463226e-10,-0.000003891216238116613,0.000147000202559866,0.009209384210407734;4.6613268978035194e-7,0.07434505969285965,-0.01723049022257328,-0.002700937446206808;-0.044107332825660706,0.0000029757607080682646,-0.00011080695549026132,0.00028619717340916395
;-87.62116241455078;-4.7044559892128746e-7,-2.6042863865427535e-8,0.00007798002479830757,-0.01945352926850319;2.882268035353519e-10,-0.000003891051164828241,0.00014690551324747503,0.009204233065247536;4.6587038582401874e-7,0.07434506714344025,-0.01723049208521843,-0.0027009285986423492;-0.044103365391492844,0.0000029741138405370293,-0.00011081008415203542,0.00028492690762504935
